"Location","Site","Section","sample","top","bottom","mp","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","K_ICP_clr","Ca_ICP_clr","Ti_ICP_clr","Mn_ICP_clr","Fe_ICP_clr","Co_ICP_clr","Ni_ICP_clr","Cu_ICP_clr","Zn_ICP_clr","Rb_ICP_clr","Sr_ICP_clr","Zr_ICP_clr","K_ICP_sd_clr","Ca_ICP_sd_clr","Ti_ICP_sd_clr","Mn_ICP_sd_clr","Fe_ICP_sd_clr","Co_ICP_sd_clr","Ni_ICP_sd_clr","Cu_ICP_sd_clr","Zn_ICP_sd_clr","Rb_ICP_sd_clr","Sr_ICP_sd_clr","Zr_ICP_sd_clr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,87.49,4.37,12.51,1.25,0.107,0.01,3.88592742914122,3.75095199294446,1.30571059954889,-0.073203654273378,5.94431556162322,-3.90066927167346,-2.69534602824965,-2.12480116978204,-0.467990682424135,-2.77101236132339,-0.319028973634611,-2.53485344189711,6.95760986617572,3.8799136547703,1.3950070049823,0.00871264386240778,5.87800955699618,-3.90331036156574,-3.21016318100579,-3.21016318100579,-2.11155089233768,-3.90331036156574,-0.0746689650766433,-1.70608578422952
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,89.51,4.48,10.49,1.05,0.176,0.02,3.84231835291815,3.8914304573168,1.03065916919692,-0.0191629553017531,5.79240566222711,-3.62580431117872,-2.25609407807436,-2.16964027009834,-0.824839140998137,-2.92609973007261,-0.130493637946083,-2.60467951798898,7.37431147439897,3.94794335439026,1.11473001033405,0.421582829774102,4.41056687633838,-4.18358735621399,-2.7972929950941,-3.49044017565404,-0.657226831597828,-3.49044017565404,-0.546001196487604,-2.10414581453415
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,86.38,4.32,13.62,1.36,0.145,0.01,3.48315869584961,3.98305098149722,1.97226198380128,-0.248702580838009,4.41982299423043,-3.30000470554681,-2.58985994861829,-2.09660349311983,-1.22414098521486,-2.37801595255802,-0.0223210342500236,-1.99864595523271,7.09054192354563,4.20692694811234,2.31985729907996,0.0172722060859178,4.60223968475649,-4.58789797990217,-3.89475079934223,-3.20160361878228,-2.50845643822234,-2.28531288690813,0.0564929192391991,-1.81530925766239
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,80.34,4.02,19.66,1.97,0.214,0.02,3.71541821674059,3.96193883641908,2.18018883455774,-0.701814673667907,3.63067151544584,-4.63915548708034,-2.84313161906583,-1.86177059257707,-0.375994204325073,-1.85119407938967,0.00753388623004596,-1.2226906332874,6.79977866349303,4.13864538217857,1.97219246350911,-1.11884998984921,2.90650170088594,-5.03087299527736,-3.2391135260493,-2.14050123738119,-0.24338125249531,-2.63297772247899,-0.600056196434043,-0.811365290101249
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,78.21,3.91,21.79,2.18,0.304,0.03,4.17705478198935,3.50952311073641,2.05077777867043,-0.534239141841917,4.2970970502656,-2.82406810349153,-3.24499570454187,-2.29670224158154,-1.03097530073261,-1.76630560603865,-0.517089739768962,-1.82007688366472,7.37329813115293,3.70898262143689,2.48520718981477,-1.60913737240733,2.58051736961909,-3.91172246540138,-4.13486601671559,-3.32393580049926,-1.10231977003888,-1.10231977003888,0.0356676838640611,-0.999371800786436
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,80.53,4.03,19.47,1.95,0.26,0.03,3.95576437624477,3.71177212885949,2.00596064667033,-0.328331197449804,5.11472549072951,-3.76574709197244,-3.02769440773854,-2.10940965725753,-0.909588887002492,-2.2839527797221,-0.354096532852617,-2.00940208850858,6.87019676067254,2.47437680386633,1.25798147954183,-1.51460724269795,4.33759523707653,-4.0403358870062,-3.12404515513205,-2.4308979745721,-1.20712254294999,-3.22940567078987,0.054008675215898,0.552255516775029
"Bird Island","BI10","BI10.2",45,44,45,44.5,73.72,3.69,26.28,2.63,0.351,0.04,5.30116980617933,3.48264114236113,2.20237263291828,0.406280545681272,4.35389505677365,-3.95315745271355,-3.57309053521099,-3.28701747356491,-1.65749280256408,-0.877623638736678,-0.695121201052296,-1.70285608007115,8.25751715586285,3.32756898506911,1.42333153241437,0.576033672027162,2.42186036252549,-5.12774880262904,-4.72228369452087,-3.74145444150915,-2.35516008038926,-0.488177189923615,-0.256375575866291,0.684888076939245
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,84.86,4.24,15.14,1.51,0.179,0.02,2.95210332028154,3.98617708781208,0.843199745871391,-0.838558828142335,5.31443978864817,-2.02834699747631,-2.59488220941228,-1.43964786428433,0.174664143908013,-3.19998442115931,-0.155281624521163,-3.01388214152545,6.01636395430017,3.78698226532941,0.953768921273198,-0.432525439846693,4.86579192670134,-3.09178547677947,-3.24593615660673,-2.55278897604678,-0.526836119317934,-3.42825771340068,0.295023167430585,-2.63980035303641
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,77.63,3.88,22.37,2.24,0.277,0.03,4.67890365900232,3.51764003695119,2.17016730896374,0.0822868986380385,4.54882797492994,-3.64107873154707,-3.54258383567522,-2.87765295668849,-1.3434180241637,-1.31388660942798,-0.344787128145744,-1.93441859283702,5.90776677777996,3.57395991098596,2.24862624965576,0.35508408611776,4.72543568921114,-3.75364921355644,-1.71299369691176,-3.27822551684137,-1.87186359267067,-1.78319795558501,-1.61614387092184,-2.79479886726349
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,87.79,4.39,12.21,1.22,0.144,0.01,2.52625996125799,4.4286081905084,1.18060324586992,-0.62901384075814,3.52436425304815,-3.80167682247121,-2.20653415022394,-0.441749564397978,0.451966436095551,-2.97017120853843,0.343095067900037,-2.40575156829036,6.14990806985557,4.41117306893574,0.84164037245437,-0.544653988665521,2.45107828488847,-4.45667699409367,-2.37723545241383,-1.74862679299146,-0.152611900889497,-3.07038263297378,0.314007630371998,-1.81761966447841
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,77.02,3.85,22.98,2.3,0.313,0.03,3.71845220550711,3.87519291791774,2.03459925493236,-0.761850248434327,3.50002905214921,-3.83554406345803,-3.45411658183528,-1.63941208388142,0.327782450180478,-1.8260611103851,-0.114985016611353,-1.82408677608139,6.80694511207872,3.02969650751469,1.59895038382397,-1.49209206953435,1.90910531212781,-4.71096789440255,-3.45820492590718,-1.90760751349601,0.101216460969868,-2.14601853694101,-0.126000415731977,0.394977579498031
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,76.84,3.84,23.16,2.32,0.303,0.03,2.95919131900996,4.17063739584718,1.50744570406908,-0.799477790523565,3.58661664636964,-3.91516937915654,-2.73049932708513,-1.09999551177812,0.316874755830158,-2.57399545331711,0.11681294135059,-1.53844130061614,6.66980430625813,2.64445261552298,1.46579761918133,-0.613643922498504,3.44679908804792,-4.52566692792665,-2.91622901549255,-3.42705463925854,-0.633846629816023,-2.04076027813865,0.504770993465786,-0.574423209345223
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,75.82,3.79,24.18,2.42,0.301,0.03,4.27068118829338,3.89937525883935,2.39332741807578,-0.465238747357354,3.44440046671552,-4.40952261500372,-3.44992118472476,-1.62243904267501,-1.08909680402113,-1.38510730057939,0.0451105725177556,-1.63156921008041,7.57626629304839,3.48082943142768,2.58883139212257,-0.630044432745631,3.03351721338402,-5.23521461873372,-4.54206743817378,-2.52716441763151,-2.59615728911846,-0.986719376684363,0.336939413444042,-0.499016170339227
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,83.38,4.17,16.62,1.66,0.184,0.02,3.36147658286787,4.20280427626857,1.67798038895561,-0.633338384007193,3.55418756530471,-3.72087820681431,-2.89974382042374,-1.06520150544368,-0.501540949960683,-2.08862561661404,0.198502281221136,-2.08562261135427,6.91029979907154,4.26818592097373,0.71283785948432,0.0196906789243748,2.50459732871238,-3.48686721839561,-2.97604159462962,-0.824279391370154,-1.21818367707724,-3.89233232650377,-0.322799630022401,-1.69510774916755
"Bird Island","BI10","BI10.3",95,93,94,93.5,84.51,4.23,15.49,1.55,0.17,0.02,3.24384458720738,4.00855525283669,1.60065915036073,-0.711876273486487,4.53435801319132,-3.05702098089933,-2.8433131102847,-1.57937684119121,-0.529971470188875,-2.47602057568157,-0.0198130134895795,-2.17002473837436,6.53498373638145,2.32179849694483,0.781353455997683,-0.317258832670427,4.21534066048283,-2.9765188696032,-2.9765188696032,-2.84298747697868,-0.578623596804835,-3.31299110622442,0.41028977460685,-1.25886737252887
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,72.66,3.63,27.34,2.73,0.345,0.03,3.41357776539774,4.18790380221016,1.72560121339343,-0.618694368181987,4.25636158228973,-3.3184457664695,-2.83952881115734,-1.67328977143332,-0.874782075215551,-2.33658398884359,0.114474486727445,-2.03659406871721,6.61861877715017,4.04554401224472,0.954501558886403,-0.837257910341652,4.01477235357797,-4.05613373520985,-3.36298655464991,-2.55205633843358,-1.57122708542185,-1.75354864221581,-0.216681422616542,-1.28354501297007
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,83.17,4.16,16.83,1.68,0.191,0.02,2.97751468083072,4.58202820765414,1.80463246357481,-0.434264810161977,3.30996883067978,-3.95510866472944,-2.76489920696592,-1.31965494261747,-0.461657874202072,-2.44863605722721,0.560876429636227,-1.85079905647159,6.56068683471658,4.2466916749845,2.0817279598665,0.135817810811191,3.46802232098639,-4.4693523751769,-3.77620519461696,-2.52344222612159,-1.2504765503087,-2.16676728218285,-0.972844813710421,-1.33385815924775
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,86.16,4.31,13.84,1.38,0.275,0.03,3.01227644359624,4.19196132920388,1.43606037217418,-0.772495771171594,5.23757662239558,-4.0042750008757,-2.68165373461695,-0.696009676612904,-0.858109523894586,-2.63765340535452,0.111589582443185,-2.33926723728679,6.73708849564048,4.54334218268058,1.07760627988086,-0.308688081239035,1.99389701175501,-3.52756390610724,-3.52756390610724,-1.91812599367314,-1.73580443687918,-2.83441672554729,0.776501187096933,-1.27627210750074
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,87.79,4.39,12.21,1.22,0.152,0.02,2.39409665401189,4.45245363433115,1.13029198334599,-0.666662302759173,4.21944853326934,-4.43350329834282,-2.25599126227056,0.00851182581052195,0.333854681242523,-3.18074032984745,0.38666928137578,-2.38842940016719,5.87929045529444,4.55753461531212,0.773344981393862,-0.612949379726029,3.79376986753822,-4.52497238515418,-2.73321291592612,-0.481921117319625,0.119418513987198,-3.83182520459423,-0.811400318449867,-2.1270771123558
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,83.2,4.16,16.8,1.68,0.198,0.02,2.89927772114052,4.13509633972327,1.49266871866945,-0.86619721022318,3.50889755975727,-4.50378336994957,-2.25565446275158,-0.155701391328622,0.333688305137501,-2.56504171037287,0.109354985687702,-2.13260548548991,6.29443344796873,4.43679227405664,1.51363069333748,-0.788954399656562,2.67678150314316,-5.39412458564465,-3.6023651164166,-1.75653842591827,0.335975197328921,-2.50375282774849,-0.0662484168550727,-1.14562934359529
"Bird Island","BI10","BI10.4",145,141,142,141.5,85.19,4.26,14.81,1.48,0.273,0.03,3.79610954946602,3.80986997207477,1.45913226673397,-0.849205478749527,5.71174358225071,-3.47337419587104,-2.8319392163584,-1.09545036133713,-1.18953128468673,-2.51908774078854,-0.286846204868354,-2.53142088786575,6.98746710843346,2.84521460530162,0.647990027965398,-0.738304333154492,5.13099257997928,-3.04088942614854,-3.55171504991453,-2.01127000896738,-1.24912995692048,-2.85856786935458,-0.401832096533279,-1.75995558068647
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,83.67,4.18,16.33,1.63,0.186,0.02,3.5688744430378,3.70890833040405,1.98589310014053,-0.641913569911629,3.65118309050052,-4.83761062639402,-3.21703496954946,-0.847294134595964,-0.0829864872375878,-2.02532053730268,-0.264798356514051,-0.997900282577497,6.49273190419642,3.47560844066111,2.16727562101094,-0.828456652543054,3.6824028539738,-6.12677401909109,-4.7404796579712,-1.82270892588692,-0.409746317684869,-2.13778997252682,-0.789235939389773,1.03717266525146
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,84.59,4.23,15.41,1.54,0.216,0.02,3.03368548633692,3.73305435615158,0.632217505200981,-1.14391664612399,5.89545831560829,-2.08552518598244,-2.11948842606997,-0.840887823500079,0.0927709594561971,-3.45584760153628,-0.457770661023032,-3.28375027851818,5.82881895849751,3.30735471297571,1.06664502369975,-0.54279288873435,5.85746455657447,-2.75006780192407,-4.04935078605433,-1.41029345643907,-1.02082868967735,-3.53852516228834,-0.0853680416954749,-2.66305642493444
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,81.4,4.07,18.6,1.86,0.204,0.02,4.33535715790368,3.16154225832228,1.74399535369829,-0.228943467744943,5.2391552060659,-2.96759410929587,-3.1092292739835,-2.09136059854234,-0.619452484699458,-1.85286938799406,-0.820490619079023,-2.79011003465096,6.78285834125805,3.52500681120056,0.665985583188467,-0.838091813587807,4.92080996028947,-3.49735185052059,-2.52549126749162,-1.90230267553858,-1.3489174373538,-2.12907599490337,-1.18058212253458,-2.4728475340062
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,85.62,4.28,14.38,1.44,0.156,0.02,2.59652796780176,4.19902869019853,0.899786323457075,-0.815987238793058,5.90828483333112,-2.61705821857318,-2.38596994399378,-1.08275141258316,-0.251366574568698,-3.58955204700589,0.0276803467331754,-2.88862272600389,5.94093179989727,3.98584727456592,0.957325178188935,-0.83443429103912,5.05166974041104,-2.95469782723921,-2.10739996685201,-1.16293835801116,-3.64784500779916,-3.36016293534738,0.105572967452351,-1.97386857422748
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,79.81,3.99,20.19,2.02,0.282,0.03,4.1668501233144,3.54583077867864,1.65095129310428,-0.365044026836596,5.10994371270137,-3.45346696330736,-3.44273340766425,-1.80280425978859,-0.628753457930258,-1.98934596190285,-0.388681868025101,-2.40274596234367,7.01799765929015,3.74333360689459,1.98142710081622,-0.851786243239999,4.63715148291669,-4.0706620681082,-3.66519696000004,-2.4612241556741,-2.23808060435989,-1.96044886776161,0.23340302509597,-2.36591397586978
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,64.5,3.22,35.5,3.55,0.425,0.04,4.50868996177764,3.72386731264254,2.2391435467226,0.0414636996311915,4.66470727837441,-4.08706509978084,-3.85228468555347,-2.1624636188385,-1.13502152122918,-1.37969367012841,-0.655543379779301,-1.90579982383866,7.55783393289072,3.37847529211656,2.16031785279867,-0.884204584924758,4.48643344320291,-4.39076248224474,-4.10308040979296,-4.10308040979296,-2.19353790490852,-1.07053416311625,-0.0213146297777178,-0.816545936450943
"Bird Island","BI10","BI10.5",197,194,195,194.5,84.62,4.23,15.38,1.54,0.179,0.02,3.40467774869853,3.85589880324636,1.45553100171583,-0.818715132959745,5.16744123300251,-3.28902298332659,-3.12719994808098,-1.19383648142352,-0.164782783217441,-2.4989858438028,-0.259940034439116,-2.53106557941303,6.48459208101935,3.96603192618971,0.633827416014503,-0.752466945105387,5.09685783484147,-3.41172698203817,-3.74819921865938,-2.87273048130548,-0.891729012438895,-1.92364992660833,-0.657156765301062,-1.92364992660833
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,83.14,4.16,16.86,1.69,0.188,0.02,3.02915633534679,3.93645404826876,0.718940853487056,-1.00297504237373,6.42036594176105,-2.82078518880173,-2.35371841922931,-0.519814301162227,-0.237728708707768,-3.80455130148677,-0.288625654163186,-3.07671856293893,5.71299406819821,2.44082694627979,0.595000255781458,-0.503612032886651,6.24631916090192,-3.49934430644064,-3.72248785775485,-0.702062971610489,-0.554905327274202,-3.16287206981943,-0.225980296288372,-2.62387556908674
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,79.06,3.95,20.94,2.09,0.265,0.03,4.37266866078939,3.21786746809756,1.56307030626453,-0.520245707522869,5.98131438324287,-3.12932220492619,-3.32952418699799,-2.06185084140755,-0.0581146003267744,-2.35477005122953,-0.890049942903394,-2.79104328308003,6.8040729367032,3.72948208823689,1.97546294699168,0.0659204421072398,6.09359637117779,-3.03517234710458,-3.6229590120067,-3.09233076094453,-2.9811051258343,-2.14135447108248,-1.00556317917262,-2.79004988907159
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,84.98,4.25,15.02,1.5,0.168,0.02,3.0944823814969,3.89184769315837,0.912883122063759,-0.84683699341968,5.58901014117585,-2.78065834515599,-3.02744365952724,-1.05322973430907,0.838234753474954,-3.33445000480542,-0.237071421798785,-3.04676793235364,6.06504591302549,3.90624871282316,1.38497441886429,-1.50539733903188,5.44924152584911,-3.11483525146598,-4.72427316390008,-1.41008715922755,-0.68122189606553,-3.01952507166165,0.0715173816966611,-2.42168807090603
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,81.18,4.06,18.82,1.88,0.221,0.02,2.91475814374569,4.10923647660153,1.19382472708624,-0.840496379313123,5.47963692708672,-2.94294567923809,-2.7324012285199,-0.479126591070183,-0.891996093352557,-3.26160007254251,-0.0119445617469748,-2.53694566873685,5.97410474754992,3.07303770053701,-0.360949503948136,-1.05409668450808,4.64968579014812,-2.88667814825639,-2.40117033247469,-0.761427070545262,-0.466310019605963,-3.57982532881634,-0.0534648042001758,-2.13290634588001
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,83.17,4.16,16.83,1.68,0.199,0.02,2.82396741383979,3.74332798695823,0.667042019516213,-0.865680975337026,6.09102562698888,-2.2656062786112,-2.47588841455015,-0.278663837213935,0.406669126433647,-3.92821072981453,-0.48534960274067,-3.43263233546924,5.46245186972966,4.08670242178638,0.510152152646368,-0.876142208473523,6.03560509177815,-2.43678995673819,-2.84225506484636,-1.0504955956183,-0.645030487510136,-4.09501803334172,-1.23281715241226,-2.91636303700008
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,84.45,4.22,15.55,1.56,0.178,0.02,3.28704928253676,4.3480814867926,1.45273019888991,-0.677242151437139,5.68578595210333,-4.40086455399495,-2.88451706462686,-0.894912901009994,-0.995970310451467,-2.7753942340298,0.227173471557259,-2.37191917632964,6.06408946186998,4.53286107602776,0.534660374358559,-0.851633986761332,4.27232999264193,-4.07050981162953,-3.37736263106959,-1.76792471863549,-0.851633986761332,-2.12459966257422,-0.369207837517039,-1.9910682699497
"Bird Island","BI10","BI10.7",271,265,266,265.5,85.68,4.28,14.32,1.43,0.149,0.01,2.56341349398452,3.85487742911367,0.34346066557074,-1.06022543826102,5.87771866077725,-1.93191186389842,-2.41747211394068,-0.122894455170335,0.653066592626256,-4.11002493308529,-0.318288093531643,-3.33171994418503,5.56518881432026,3.91063046660569,0.364851856132425,-0.733760432535685,5.82017297149013,-2.566341896284,-3.95263625740389,-1.24458605630168,-0.376085988263869,-3.95263625740389,-0.134923931446981,-2.69987328890852
