"depth","surface","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc"
5.1,6.07,21028,48722,1.52,141,179,4,74,757,114,164,70,0,153,71,847,38247,5362,0.140194002
5.2,6.09,20234,46486,1.3,74,102,13,61,561,30,137,154,0,26,39,847,37076,5322,0.143542993
5.3,6.11,20329,46710,1.21,84,118,13,51,583,0,192,170,0,108,0,829,37133,5339,0.143780465
5.4,6.11,20653,47454,1.36,62,99,0,31,674,55,176,71,0,0,188,868,37564,5480,0.145884357
5.5,6.08,21066,48811,1.37,46,133,41,51,1119,17,224,85,0,0,0,944,38449,5595,0.145517439
5.6,6.1,21602,49890,1.35,50,113,16,75,809,91,243,44,0,68,62,779,39448,5782,0.146572703
5.7,6.1,21959,51151,1.46,69,45,39,67,1206,146,174,121,0,34,52,852,39997,5857,0.146435983
5.8,6.1,22064,50855,1.51,87,133,26,48,915,69,164,66,0,0,117,932,40128,5569,0.138780901
5.9,6.11,22803,52843,1.49,32,129,49,73,914,79,229,131,0,53,74,914,41760,6109,0.146288314
6,6.11,23091,54502,1.21,66,107,44,34,1400,87,216,129,0,0,49,833,42495,6304,0.148346864
6.1,6.12,22926,54426,1.28,59,157,67,79,1533,12,199,113,0,0,0,969,42267,6142,0.145314311
6.2,6.13,23348,56050,1.26,53,108,34,49,1325,99,280,116,0,0,74,963,43624,6523,0.149527783
6.3,6.15,23418,56369,1.34,18,80,54,23,1701,35,257,89,0,7,84,950,43503,6368,0.146380709
6.4,6.17,22941,53944,1.35,28,105,28,51,1365,90,259,181,0,0,33,828,42120,6081,0.144373219
6.5,6.18,22790,53450,1.42,31,129,43,70,1985,0,165,140,0,101,0,845,41782,5932,0.141975013
6.6,6.19,22853,53798,1.39,41,114,38,24,1917,22,187,78,0,120,159,899,41601,6079,0.146126295
6.7,6.19,22900,53579,1.23,37,92,26,50,1505,61,196,58,0,23,48,888,42198,5952,0.141049339
6.8,6.2,23162,54448,1.47,26,101,56,27,1356,83,218,134,0,0,0,758,42643,6038,0.141594166
6.9,6.19,23228,55556,1.24,61,113,36,32,1633,42,238,52,0,0,118,813,43464,6324,0.145499724
7,6.2,22963,54547,1.35,36,134,49,39,1980,62,131,103,5,34,9,770,42389,6314,0.148953738
7.1,6.21,23245,54778,1.36,37,117,75,24,1886,43,200,61,0,25,64,840,42689,6173,0.144603996
7.2,6.23,22473,53545,1.42,57,98,74,34,1889,58,262,116,0,0,99,917,41290,5969,0.144562848
7.3,6.23,21869,52449,1.16,74,107,15,37,1446,35,275,161,57,0,126,1085,40599,5970,0.147047957
7.4,6.24,21482,51310,1.37,38,108,34,48,1530,45,161,36,0,0,6,843,39955,5777,0.144587661
7.5,6.24,22381,53811,1.39,33,107,41,53,1345,0,176,53,0,0,101,973,41967,6381,0.152048038
7.6,6.25,23591,56039,1.32,28,102,62,67,1730,40,215,161,0,0,130,1025,43422,6443,0.148381005
7.7,6.25,24332,56873,1.32,41,110,20,49,1684,107,236,162,0,0,123,1029,44202,6330,0.14320619
7.8,6.25,24067,57134,1.38,12,114,74,47,1636,13,151,100,0,0,70,871,44726,6809,0.152238072
7.9,6.26,23982,56793,1.28,21,72,10,30,1290,52,221,137,0,0,84,968,44694,6360,0.14230098
8,6.26,24213,58289,1.82,38,139,89,89,1811,70,212,48,0,5,128,884,45176,6513,0.144169471
8.1,6.26,24364,57686,1.53,49,112,30,57,1986,82,221,51,0,15,165,864,44438,6484,0.145911157
8.2,6.26,24008,58405,1.16,42,94,25,47,2413,140,235,161,0,29,122,1133,44009,6533,0.148446909
8.3,6.26,24049,58731,1.2,45,129,46,49,2443,9,234,231,0,0,70,1022,44547,6713,0.150694772
8.4,6.27,24083,57535,1.18,37,186,54,16,2579,64,254,119,0,0,61,939,43878,6380,0.145403163
8.5,6.26,22697,55355,1.35,26,140,86,37,1937,123,178,153,0,0,0,1116,42180,6570,0.155761024
8.6,6.25,20326,49517,1.3,36,63,10,11,1258,95,161,168,0,60,0,1008,38465,5862,0.152398284
8.7,6.24,21525,53210,1.2,38,127,37,24,1860,82,199,111,0,15,87,965,40702,6059,0.148862464
8.8,6.23,22234,53768,1.21,48,112,45,35,1920,145,209,59,0,0,0,958,41274,6070,0.14706595
8.9,6.23,22648,54506,1.29,19,122,31,10,1669,0,188,75,0,107,80,859,42408,6176,0.145632899
9,6.24,23290,55962,1.24,38,113,44,33,1785,113,153,160,0,0,70,961,42749,6508,0.152237479
9.1,6.26,23055,54752,1.24,35,111,40,38,2172,0,173,89,0,0,74,850,42145,6165,0.146280698
9.2,6.28,23122,55909,1.31,39,104,49,13,2641,110,178,48,0,0,188,873,42404,6261,0.147651165
9.3,6.3,23650,57386,1.22,16,116,51,34,2788,63,215,65,0,100,39,934,43403,6553,0.150980347
9.4,6.31,23456,57311,1.28,37,130,71,28,3181,0,175,231,4,25,217,956,42977,6463,0.150382763
9.5,6.33,23271,56132,1.31,22,112,48,32,3125,43,217,144,0,0,194,788,42133,6254,0.148434719
9.6,6.34,23427,57046,1.21,32,184,104,72,3471,125,228,121,0,0,242,864,42500,6360,0.149647059
9.7,6.33,23105,56362,1.29,27,86,54,0,2922,0,273,141,0,6,0,1052,42333,6475,0.15295396
9.8,6.31,23252,56728,1.25,29,124,64,12,3133,72,238,155,0,0,345,1020,42243,6245,0.147835144
9.9,6.3,23335,56919,1.29,32,140,88,27,3251,13,276,215,0,0,152,871,42349,6424,0.151691894
10,6.3,23486,57516,1.25,40,145,89,8,3205,57,212,245,0,0,108,946,43060,6464,0.150116117
10.1,6.32,23280,56815,1.38,42,144,95,29,2917,140,220,107,0,0,87,1162,42924,6291,0.146561364
10.2,6.32,23268,56267,1.29,36,162,93,28,3817,115,273,150,8,0,104,911,41571,6377,0.153400207
10.3,6.32,22632,56145,1.36,38,190,90,47,4162,106,225,33,0,0,87,752,41217,6160,0.149452896
10.4,6.34,22729,56719,1.15,36,186,85,26,3806,86,230,127,0,144,206,959,41534,6103,0.146939857
10.5,6.33,23285,57193,1.15,24,146,43,0,3273,40,201,201,0,126,351,952,42319,6513,0.153902502
10.6,6.32,23831,58253,1.22,26,131,79,47,3280,64,241,117,0,0,186,1078,43893,6347,0.144601645
10.7,6.31,23775,58038,1.25,48,107,71,45,3099,38,264,226,0,0,202,1093,43357,6300,0.145305256
10.8,6.32,23268,56480,1.27,21,131,74,46,3105,190,234,150,0,0,198,1098,42433,6190,0.14587703
10.9,6.33,23367,58288,1.26,33,109,60,14,2754,19,197,76,0,24,374,1122,44072,6290,0.142721002
11,6.34,23443,56628,1.27,19,92,56,16,2848,141,234,68,24,18,226,716,42811,6234,0.145616781
11.1,6.36,23301,56313,1.31,58,133,32,16,2846,135,230,108,0,0,0,884,43021,6294,0.146300644
11.2,6.38,23398,58446,1.23,31,121,60,53,3368,129,222,211,0,0,352,988,43221,6438,0.148955369
11.3,6.4,23694,57695,1.28,21,145,72,76,3386,135,155,107,0,0,257,853,43255,6194,0.143197318
11.4,6.41,22575,54399,1.47,25,106,60,40,2073,99,160,172,0,119,135,970,41575,6046,0.145423933
11.5,6.41,22217,54102,1.38,38,114,53,60,2463,55,208,107,0,0,85,1018,41047,6349,0.154676347
11.6,6.38,22430,54388,1.15,0,79,60,32,2627,87,190,115,0,46,13,1032,41445,5989,0.144504765
11.7,6.42,21988,53521,1.42,29,103,78,14,2811,175,246,127,0,0,143,694,40154,6003,0.149499427
11.8,6.41,22104,53975,1.36,25,104,41,24,3366,130,213,115,0,46,160,983,39849,5900,0.148058922
11.9,6.4,22026,54890,1.35,36,152,84,26,3727,125,222,162,0,0,0,755,40240,6126,0.152236581
12,6.39,22044,54661,1.38,37,172,82,35,3905,16,202,77,0,0,132,1075,39990,6173,0.154363591
12.1,6.39,22762,56934,1.32,35,132,99,59,4325,103,239,73,0,0,205,806,41436,6273,0.151390096
12.2,6.38,23298,58800,1.35,27,169,142,21,5346,86,147,205,0,0,302,698,42065,6500,0.154522762
12.3,6.38,23507,57776,1.28,19,107,96,19,3873,4,250,132,0,0,218,839,42861,6376,0.148759945
12.4,6.38,23607,57795,1.41,0,139,71,14,3907,42,200,91,0,0,112,911,42698,6451,0.15108436
12.5,6.38,23237,55718,1.32,22,123,63,13,3207,91,202,105,0,0,51,945,41967,6045,0.144041747
12.6,6.38,23062,55307,1.28,6,111,79,18,3183,141,297,174,0,0,0,882,41680,6265,0.1503119
12.7,6.38,23101,54956,1.38,25,141,31,9,2777,81,203,47,0,0,181,618,41742,6176,0.147956495
12.8,6.38,23069,55296,1.23,28,135,57,37,2863,16,187,56,0,0,252,848,41886,6301,0.150432125
12.9,6.38,23144,56553,1.37,42,126,83,24,3166,65,150,75,0,0,171,925,42562,6230,0.1463747
13,6.38,23536,58105,1.3,39,121,59,18,3484,48,213,82,0,0,246,1006,43342,6379,0.147178257
13.1,6.38,23189,56284,1.25,15,117,62,35,3088,33,227,135,0,0,173,924,42536,6175,0.145171149
13.2,6.39,22954,55677,1.46,10,88,75,19,2843,0,216,106,0,13,141,988,42253,6155,0.14567013
13.3,6.4,22472,54981,1.28,11,121,93,16,2753,125,184,76,0,0,215,836,41855,6103,0.145812926
13.4,6.4,21036,50990,1.64,23,114,51,56,2425,23,212,89,0,0,58,981,38535,5814,0.150875827
13.5,6.39,20815,50646,1.2,26,140,56,0,2778,99,206,91,0,47,70,768,38032,5567,0.146376735
13.6,6.39,21169,51569,1.3,18,119,14,38,2957,50,217,116,0,0,57,923,38929,5668,0.145598397
13.7,6.4,21197,51575,1.32,7,101,60,36,2133,47,203,196,14,8,66,871,39788,5797,0.145697195
13.8,6.41,21734,52931,1.18,7,70,16,21,1754,102,238,64,0,0,106,913,40733,6183,0.151793386
13.9,6.42,22314,53547,1.54,25,97,79,39,1834,92,249,21,0,0,48,860,41480,6130,0.147782064
14,6.44,22447,54639,1.38,10,98,44,50,2129,102,229,103,0,0,47,719,42129,6275,0.148947281
14.1,6.48,22560,54961,1.23,9,79,20,23,2018,131,187,92,0,0,180,854,42038,6525,0.155216709
14.2,6.5,22582,54710,1.37,0,61,78,25,2331,63,229,270,20,0,41,1066,42040,6284,0.149476689
14.3,6.52,22651,54301,1.46,19,98,92,33,2223,54,179,95,0,0,50,1106,41823,6117,0.146259235
14.4,6.54,22431,54059,1.34,8,94,80,22,2257,55,208,134,0,0,128,932,41367,6138,0.148379143
14.5,6.55,22334,54238,1.29,6,90,69,20,2621,161,193,102,0,0,132,896,41377,6161,0.148899147
14.6,6.56,21774,52905,1.33,6,79,86,0,2568,0,174,74,0,0,139,1050,40789,5863,0.143739734
14.7,6.57,21978,55008,1.31,0,69,73,31,3849,118,183,100,18,78,85,806,40892,6130,0.149907072
14.8,6.57,22516,58646,1.45,0,67,87,9,7804,31,173,82,0,0,182,914,40774,5894,0.144552901
14.9,6.58,21735,53388,1.21,0,111,66,23,2227,14,322,100,0,0,0,1011,40691,6082,0.149467941
15,6.58,21734,53635,1.19,13,123,131,0,2368,67,208,121,5,0,83,928,40836,5977,0.146365952
15.1,6.6,21818,54187,1.34,27,114,105,36,2661,61,257,164,21,0,184,1013,41157,5866,0.142527395
15.2,6.59,22240,54518,1.24,16,89,62,15,3076,111,222,6,0,0,157,854,41040,6227,0.151730019
15.3,6.6,22050,54094,1.24,13,128,87,41,2701,53,186,49,0,0,167,987,41173,5999,0.145702281
15.4,6.59,22106,55019,1.23,8,122,80,41,2643,85,211,113,0,164,205,959,41484,6089,0.146779481
15.5,6.58,22885,56084,1.29,0,98,58,0,2862,98,218,95,0,40,203,870,42924,6193,0.144278259
15.6,6.57,23247,56229,1.26,26,125,113,48,2564,36,203,158,0,0,176,992,43113,6381,0.148006402
15.7,6.57,22384,53351,1.27,20,109,50,46,1922,40,228,33,0,146,79,884,41193,5972,0.144976088
15.8,6.55,22440,53777,1.39,19,116,99,29,1816,39,191,54,0,0,149,887,41924,6164,0.147027955
15.9,6.52,22779,54522,1.29,17,117,95,57,1936,37,204,54,0,0,60,1036,42651,6090,0.142786805
16,6.5,22840,55595,1.38,30,102,52,8,1927,56,222,56,0,103,88,1064,42811,6563,0.153301722
16.1,6.49,22530,54836,1.25,12,126,84,28,2263,110,239,83,0,0,151,775,41798,6197,0.148260682
16.2,6.48,22225,55486,1.25,18,134,130,20,2901,105,212,49,0,37,170,1036,41478,6151,0.148295482
16.3,6.47,22443,57362,1.4,36,133,107,14,5713,0,204,87,0,115,123,927,41031,5930,0.144524871
16.4,6.46,22461,60555,1.42,13,125,157,25,8203,140,220,108,0,0,53,1056,41146,6428,0.156224177
16.5,6.47,22425,62410,1.28,11,145,161,33,10754,141,225,93,0,11,160,952,40743,6217,0.152590629
16.6,6.47,22613,60595,1.49,21,139,121,14,9220,108,207,93,0,68,223,768,40888,6033,0.147549403
16.7,6.46,22000,55539,1.21,13,118,84,22,4193,9,183,93,0,0,81,933,41290,6027,0.145967547
16.8,6.46,22394,57137,1.45,29,166,171,5,4578,95,260,87,0,57,29,955,41907,6117,0.145966068
16.9,6.45,22653,56679,1.37,47,170,124,48,4361,14,236,80,0,20,95,703,42023,6086,0.144825453
17,6.43,22467,56634,1.39,34,143,132,0,4417,71,246,99,7,62,127,1009,41855,5898,0.140915064
17.1,6.43,22157,55166,1.31,20,96,113,31,4084,47,157,54,0,0,29,1019,40846,6030,0.147627675
17.2,6.41,21821,55241,1.35,9,130,96,6,4398,0,175,150,8,30,175,955,40578,6042,0.148898418
17.3,6.39,21668,54792,1.25,15,123,120,14,3969,13,250,60,0,0,41,974,40918,6000,0.146634733
17.4,6.39,22200,54559,1.47,12,79,91,21,2491,32,216,139,0,18,52,861,42150,6128,0.145385528
17.5,6.41,23467,58184,1.39,14,112,171,29,4171,43,222,156,0,92,30,939,43183,6192,0.14338976
17.6,6.43,23452,59469,1.27,21,119,118,26,5203,121,269,94,0,0,73,830,43070,6397,0.148525656
17.7,6.45,22677,58650,1.31,27,148,171,45,5081,38,194,158,0,112,139,976,42469,6335,0.149167628
17.8,6.47,22473,56980,1.24,35,106,110,26,4852,6,258,134,0,0,0,1043,41725,6076,0.145620132
17.9,6.47,21834,56059,1.3,23,128,70,45,4361,99,164,92,0,0,136,1010,41415,6040,0.145840879
18,6.47,21757,55045,1.35,30,98,94,0,3153,21,179,71,0,0,0,1035,41648,6207,0.149034768
18.1,6.47,22234,55228,1.3,0,88,83,20,2878,105,193,147,45,226,194,1074,41764,5977,0.143113686
18.2,6.46,22018,54686,1.48,19,87,115,57,3089,106,252,31,6,0,5,1032,41618,5945,0.142846845
18.3,6.46,21466,54156,1.37,20,152,133,21,3302,61,181,164,0,58,142,905,40634,5898,0.145149382
18.4,6.45,21100,53222,1.41,19,123,166,0,3456,65,189,163,0,0,0,935,40077,5782,0.144272276
18.5,6.43,21189,53895,1.26,0,123,129,35,4330,96,206,66,0,69,13,878,39866,5836,0.146390408
18.6,6.41,21752,55335,1.51,16,71,73,21,4075,10,232,139,0,94,5,1083,41199,5819,0.141241292
18.7,6.4,21902,53767,1.37,0,113,85,18,3973,37,179,153,0,31,18,881,40124,5666,0.141212242
18.8,6.41,22235,56100,1.27,18,130,116,22,4642,47,135,120,0,60,175,1040,40741,6213,0.152499939
18.9,6.41,21875,54640,1.18,22,150,138,42,3765,51,173,82,0,20,84,947,40658,5942,0.1461459
19,6.41,21682,54367,1.21,27,145,151,35,3526,0,243,57,10,41,90,1125,40531,5970,0.147294663
19.1,6.42,21666,53977,1.24,32,153,197,11,3952,62,147,26,0,16,0,889,40013,5947,0.148626696
19.2,6.42,21785,54169,1.48,21,176,205,38,3749,0,172,91,0,28,87,999,40556,5427,0.133814972
19.3,6.42,21687,54834,1.4,8,149,139,31,3553,0,222,105,0,27,262,932,40614,6052,0.149012656
19.4,6.41,21492,54567,1.16,22,178,149,28,4119,166,272,133,0,0,305,900,39846,5656,0.141946494
19.5,6.42,21150,52554,1.25,10,117,180,0,3830,43,185,29,0,0,0,1028,38967,5755,0.14768907
19.6,6.42,21012,53166,1.27,16,131,153,10,4320,0,159,37,16,0,134,879,39322,5718,0.145414781
19.7,6.41,20768,51456,1.36,18,85,109,0,2723,99,179,63,0,142,57,1030,38898,5674,0.145868682
19.8,6.41,21850,58693,1.2,0,96,110,23,9111,116,189,219,0,103,21,812,39442,5882,0.149130369
19.9,6.43,21419,55043,1.15,22,93,105,24,6221,94,201,133,42,7,127,960,38809,5818,0.14991368
20,6.45,21184,58265,1.31,4,108,172,21,9770,105,164,130,19,77,78,934,38567,5843,0.15150258
20.1,6.47,21255,57010,1.18,14,100,122,0,8114,103,215,127,0,18,118,775,38730,5869,0.151536277
20.2,6.47,21701,53334,1.25,6,160,163,28,4216,0,183,107,17,88,92,828,39229,5979,0.152412756
20.3,6.47,20897,52503,1.31,29,160,166,20,3772,0,213,136,11,0,37,1012,38842,5873,0.151202307
20.4,6.47,21302,57540,1.28,0,141,185,8,8998,16,184,92,0,0,50,882,38538,5860,0.152057709
20.5,6.48,21212,52844,1.21,33,159,146,14,4048,25,181,76,0,0,219,846,39041,5775,0.147921416
20.6,6.49,21626,56805,1.29,19,96,106,52,7668,69,192,126,0,0,221,768,39359,5883,0.149470261
20.7,6.5,21948,57067,1.31,27,140,140,26,7704,39,204,122,0,0,165,839,39373,5874,0.14918853
20.8,6.52,21830,57585,1.23,0,100,172,40,7590,64,179,136,0,0,364,920,39420,6055,0.153602232
20.9,6.54,21131,53263,1.22,0,69,107,8,4826,108,194,92,30,28,48,754,38977,5774,0.148138646
21,6.56,20990,53310,1.23,20,55,131,41,5730,132,147,88,0,0,116,736,37778,5919,0.15667849
21.1,6.58,20927,52647,1.25,13,81,116,26,3817,188,190,87,11,57,128,873,38914,5828,0.149766151
21.2,6.59,21071,50688,1.24,9,59,98,43,2355,49,171,57,0,53,56,878,38924,5710,0.146696126
21.3,6.6,21166,51526,1.26,0,49,113,30,2442,42,221,142,0,11,212,773,39307,5816,0.147963467
21.4,6.61,20952,52073,1.19,6,137,149,9,3099,73,193,106,0,26,40,1010,39057,5905,0.151189287
21.5,6.62,20795,50787,1.33,16,89,79,19,2005,106,190,110,0,4,78,715,39395,5655,0.143546135
21.6,6.63,21023,52143,1.14,15,121,131,41,2845,31,208,64,0,0,149,999,39362,5807,0.147528073
21.7,6.64,20797,50745,1.39,20,160,171,64,1606,49,229,44,0,0,205,983,39149,5914,0.151063884
21.8,6.65,20687,51144,1.36,14,125,171,16,1714,44,189,82,0,103,229,962,38901,6034,0.155111694
21.9,6.66,21001,50929,1.34,0,137,208,9,1957,103,197,153,0,44,109,956,39199,5625,0.143498559
22,6.68,20667,50122,1.21,4,112,195,32,1988,51,232,171,70,0,148,931,38387,5572,0.145153307
22.1,6.69,20564,51390,1.26,11,120,186,52,3103,65,190,117,0,114,187,751,38322,5624,0.146756432
22.2,6.7,20489,48866,1.23,15,82,185,13,1721,93,208,161,0,0,9,1002,37975,5332,0.140408163
22.3,6.71,20417,49362,1.3,12,99,142,15,1590,69,167,66,0,0,168,817,38356,5364,0.139847742
22.4,6.72,20095,48416,1.31,17,78,138,8,1185,48,168,89,0,21,124,760,38093,5435,0.142677132
22.5,6.73,20240,48491,1.36,13,83,105,17,1139,55,190,24,0,0,211,937,37935,5715,0.150652432
22.6,6.74,20318,49235,1.32,4,67,97,34,1016,155,184,100,0,0,173,842,38449,5970,0.155270618
22.7,6.75,20631,50299,1.62,24,127,166,27,1996,86,192,0,0,0,317,783,38601,5629,0.145825238
22.8,6.76,20247,49717,1.33,11,102,170,31,1283,82,199,136,34,115,140,848,38818,5583,0.14382503
22.9,6.78,20226,49475,1.25,0,86,145,0,1193,34,196,133,0,0,219,869,38705,5779,0.149308875
23,6.79,20502,50197,1.19,29,111,137,21,1119,44,200,128,6,0,59,831,39378,5775,0.146655493
23.1,6.79,20663,50274,1.24,20,120,173,14,1452,22,258,86,0,0,48,757,39032,5852,0.149928264
23.2,6.8,20735,50451,1.32,17,150,154,38,1399,0,164,77,0,47,85,729,39381,5877,0.149234402
23.3,6.82,20541,51332,1.31,12,111,150,36,1713,61,178,120,28,0,371,805,39318,5784,0.147108195
23.4,6.83,20774,51844,1.23,16,126,115,0,3756,44,167,37,0,11,96,681,38537,5695,0.147780056
23.5,6.84,21105,55509,1.29,11,88,117,41,6432,169,198,164,0,0,62,881,39006,5878,0.150694765
23.6,6.84,21057,55557,1.23,15,105,97,25,7030,39,172,73,45,15,114,1015,39047,5767,0.147693805
23.7,6.85,21730,57975,1.29,14,95,106,10,8619,125,255,62,61,21,196,896,39353,5871,0.149188118
23.8,6.86,21940,58532,1.37,0,115,100,0,9049,0,207,152,19,108,211,978,39771,5662,0.14236504
23.9,6.86,21750,53767,1.17,0,112,95,36,3867,102,232,140,0,19,138,793,40174,6023,0.149922836
24,6.87,21382,51303,1.26,0,107,86,34,1363,63,176,100,0,59,100,1048,40297,5884,0.146015832
24.1,6.87,21594,51855,1.19,0,99,58,10,1533,34,189,124,0,26,278,1002,40505,5588,0.137958277
24.2,6.88,22059,53832,1.25,13,101,101,31,2787,30,195,130,0,0,140,992,40935,5940,0.145108098
24.3,6.88,21744,52102,1.39,11,79,109,0,1965,39,196,176,0,63,0,880,40376,6031,0.149370913
24.4,6.9,21130,51177,1.56,6,90,119,21,1406,0,132,112,0,0,149,1014,39428,5908,0.149842751
24.5,6.9,21440,52464,1.36,7,122,115,12,3781,17,203,28,0,0,50,1119,39157,5727,0.146257374
24.6,6.9,22175,60965,1.51,15,107,141,0,13321,34,179,66,0,0,112,889,38321,5606,0.146290546
24.7,6.91,21134,50533,1.38,19,85,98,14,1871,119,233,97,0,0,91,834,39128,5712,0.145982417
24.8,6.91,20916,50240,1.33,0,110,94,25,1562,48,213,65,0,22,218,987,38907,5791,0.148842111
24.9,6.91,21065,51066,1.46,8,86,132,44,1952,44,199,106,0,145,269,975,38905,6064,0.155866855
25,6.91,21630,52456,1.23,11,131,141,59,1747,76,184,45,0,0,296,906,40657,5963,0.146666011
25.1,6.92,21643,52750,1.24,0,105,126,53,1948,87,225,89,0,0,65,945,40642,6001,0.147655135
25.2,6.92,22102,53406,1.38,10,138,135,24,2241,0,184,113,0,0,74,871,41334,5871,0.142038032
25.3,6.92,22371,55219,1.53,18,154,189,27,2212,81,209,179,0,0,253,984,41721,6395,0.153280123
25.4,6.91,22362,54260,1.27,17,143,193,26,1713,49,197,111,0,0,211,1069,42027,6027,0.143407809
25.5,6.92,22325,53277,1.38,10,131,145,14,1240,0,259,110,38,0,279,799,41826,5937,0.141945202
25.6,6.92,22562,52948,1.31,21,159,118,46,811,28,268,70,0,0,0,780,42048,6044,0.143740487
