"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-43.6,21128.75,48795.75,1.3875,41,153,27.5,719.5,2054.5,76.25,187,62,47,115.5,471.25,623.5,36172,5541.5,0.15329975375,11.4891252930761,48.5455112926691,14.8436293854749,410.872648558326,636.510539320966,54.7501902584213,36.9864840178139,58.2980845883179,31.6227766016838,92.1466222929522,123.429804612446,202.771628521678,2850.28875730162,382.222012273844,0.00223801385347654,74.05292232,3.702646116,25.94707768,2.594707768,0.204293297,0.02042933,2041.721942,46.94130895,6749.372655,1924.888147,20764.4876,191.5470843,8034.582758,86.27648623,614.0518172,4.3370591,32678.58936,69.15812421,16.33205694,0.063835773,26.27212126,0.174368454,24.69368632,0.086063133,74.45665889,0.998541864,3.20283705,0.054562539,4.612179656,0.039321744,138.036883,6.40274082,93.81158408,8.921202081,1.578894472,0.016029645,0.834903047,0.005683436
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,3.97058823529412,14967.4117647059,49334,1.34235294117647,48.8823529411765,371.058823529412,342.470588235294,164.764705882353,20505.0588235294,265.823529411765,148.411764705882,92,16.4705882352941,86.2941176470588,724.823529411765,566.117647058824,20162.6470588235,4087.05882352941,0.203875801529412,41.3020616206703,168.25073201484,157.81995978292,90.9172215615424,5465.0915759778,60.7774992226951,36.6998958164894,37.4916657405349,22.0060152204426,45.4116789849846,137.04480804381,120.661656271235,2676.60040772751,397.113565398526,0.0122903659962809,67.63722506,3.381861253,32.36277494,3.236277494,0.324199705,0.03241997,2470.033093,34.02759777,8470.459825,2421.09846,24349.44729,711.6515767,10205.77283,252.6865249,553.5802331,15.06148595,48738.7654,1007.282625,18.68861595,0.079848366,39.93389191,0.141991361,26.74331214,0.313205083,81.89432683,1.376284175,6.559985032,0.051370996,6.928285046,0.072325223,172.0332159,8.636659734,130.2830932,7.874920915,2.111394546,0.024201811,1.145028767,0.007781087
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,59.76,17856.5333333333,63331.2666666667,1.37933333333333,111.133333333333,543.266666666667,533.2,158.8,31088.1333333333,248.533333333333,185.533333333333,90.4,23.0666666666667,90.5333333333333,775.266666666667,600,22545.6666666667,4478.46666666667,0.201586507466667,45.2987963679053,257.69208277285,252.820715697338,60.94400240033,7546.5754093843,92.1829443991416,31.9035749601529,43.1820068348579,24.7832508725051,69.7750125829611,271.1176514954,110.691334026524,3398.15949484143,280.712070753409,0.0220913685909312,41.40335573,2.070167786,58.59664427,5.859664427,0.963326181,0.096332618,1625.983285,4.532085741,7270.581826,2083.787413,18719.29689,285.4615205,11837.89698,130.380681,433.6021987,7.251617097,40886.55616,685.9688045,15.75984242,0.167762212,28.84382633,0.280654365,26.49605516,0.302346615,74.54857758,0.647526893,4.320499499,0.084280295,8.457485532,0.069317299,154.8814977,4.521959852,132.8980564,7.845461046,1.904048371,0.015679958,1.21611583,0.015233425
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,108.485714285714,21546.3571428571,63213.7142857143,1.38142857142857,52.1428571428571,244.428571428571,192.428571428571,74.0714285714286,19220.2857142857,201.5,225.357142857143,101.714285714286,3.78571428571429,54.9285714285714,312.5,758.857142857143,34171.8571428571,5453.28571428571,0.159645525071429,45.3615512264553,100.190368250196,82.7579550307952,28.5992584242596,7409.84498362271,97.1396694693542,22.7684232853551,51.9961959724401,7.76757136015916,51.7530590485154,78.2832627754441,100.097534852345,670.888143507471,180.05914779121,0.00631906653232497,82.51226355,4.125613177,17.48773645,1.748773645,0.172242166,0.017224217,1606.982719,27.67398683,2638.458059,863.5155109,7892.84278,163.3355729,3166.073488,44.73377847,145.6542648,1.71335692,18707.63044,91.41985794,5.990333136,0.045056322,14.90398608,0.05400101,12.73383553,0.0819318,27.27598299,0.458474537,4.084353792,0.116059134,2.597921886,0.063207346,65.34606485,2.211412383,43.42615035,1.823579953,0.723868771,0.025206261,0.684732429,0.000968503
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,130.207142857143,18073.1428571429,50747.7142857143,1.39357142857143,104.5,485,433.142857142857,104.928571428571,12891.4285714286,143.428571428571,200.928571428571,120.857142857143,8.64285714285714,64.6428571428571,646.571428571429,670.857142857143,27758.2142857143,5068,0.185652934857143,100.293990923607,249.88181821998,239.112093810818,40.1793369890435,3830.01324991252,71.6752443967976,36.1396102437676,50.8585627657075,13.8097353779423,69.9621954430305,243.789226204086,118.84693267642,4996.42851180985,479.419360348456,0.0201604584524328,71.80119564,3.590059782,28.19880436,2.819880436,0.313169166,0.031316917,1732.985617,17.56871755,7029.037339,1907.985918,23057.20465,434.2114875,9442.994519,253.226675,372.8583737,8.19883524,35630.07615,399.9479647,14.56260068,0.081466026,31.14535059,0.089369364,25.82156005,0.18436126,65.36111894,0.643115219,3.719253835,0.057860348,4.555799076,0.017626227,143.4502871,5.236474934,114.5251759,6.949966381,1.879720325,0.033823532,0.845985799,0.005878393
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,153.175,20860.6875,54932.3125,1.32875,49.375,320.6875,307.6875,74.6875,9088,77.25,227.6875,125.1875,12.5,63.375,385.125,852.4375,35799.1875,5683.0625,0.1600421338125,59.0354413325871,347.554258354001,290.954227499791,40.7098984687181,5483.48634842226,56.5113557909677,27.9826583202287,45.2006176211491,31.6333157709821,61.5130067546694,258.408945923575,111.077131609826,4346.57175589759,412.528862626605,0.0133615973286676,80.8570446,4.04285223,19.1429554,1.91429554,0.183332976,0.018333298,1544.341058,19.77568712,3048.627916,1029.760485,8068.846686,203.0553031,3112.020149,70.38593935,137.6502423,3.767816255,13008.32214,299.9003674,5.221829427,0.034339306,13.60485991,0.037998077,19.18499137,0.141255927,28.74841778,0.45941447,2.507339154,0.040575593,4.22647584,0.084413495,73.24363877,2.496659877,41.3224873,1.733822103,0.701594692,0.00189081,0.759972104,0.007226092
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,212.526666666667,21094.1333333333,53044.6,1.298,20.2,153.2,143.666666666667,45.2,4948.33333333333,86.8,212.8,104.266666666667,9.33333333333333,83.8666666666667,300.333333333333,879.733333333333,37836.9333333333,5968.2,0.157802914266667,8.92988561756852,39.8787447860923,63.9203373255298,18.7090505218349,1018.37781837213,49.8744137094076,28.0972799903682,52.5743917384373,18.9949868073006,71.5340744647179,109.933529700365,95.804463560396,1429.23198490191,208.739140008357,0.00430957165735743,80.22968919,4.01148446,19.77031081,1.977031081,0.228079577,0.022807958,1195.644073,10.13885337,2675.023484,971.5768425,7023.833905,194.9295095,3257.609478,97.329283,116.7959682,2.858430699,9929.222192,271.9387073,4.215243411,0.073672112,10.86332373,0.083331033,10.81206248,0.068603587,28.98839799,0.171941507,1.591513383,0.032977868,2.954910964,0.027519532,66.66000584,1.215205903,46.13258291,1.848216072,0.965531788,0.01952173,0.66100582,0.004545605
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,308.48,23650.5333333333,61225.3333333333,1.33533333333333,10.3333333333333,162.333333333333,84.7333333333333,46.4666666666667,8375.6,92.7333333333333,242.2,116.533333333333,4.33333333333333,40.8666666666667,125.266666666667,936.333333333333,42160.4,6328.66666666667,0.1501756108,8.68222047525588,78.8440292754052,40.1078308468321,18.3803725543879,3817.86628516879,61.3787616440115,34.9697828744434,41.7507342393378,10.9261590863831,52.5735765606731,87.9402935979591,122.278760371927,1503.8707581248,213.713983320387,0.00429598407288064,84.03655899,4.201827949,15.96344101,1.596344101,0.160195085,0.016019508,982.6393251,33.61844003,458.1692768,273.1267857,1842.298409,30.56479527,338.8842864,6.962616026,22.55582026,0.666533592,4020.387316,67.74261464,1.572869736,0.017783884,7.487431173,0.034151641,3.298222114,0.016411823,11.6740324,0.10489905,2.025278681,0.098573745,0.811121884,0.025344872,28.31046928,0.190321941,11.60409855,0.079953569,0.393167393,0.00299171,0.214132522,0.001869461
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,466.2125,21313.25,55199.625,1.315625,21.6875,220.25,287,69,8722.1875,178.4375,217.1875,108.375,0.9375,58.25,486.3125,894.4375,36190,5810.9375,0.160899842625,17.0439383164025,74.4217710082204,110.032722405655,20.1791972090071,1065.4582249749,64.8361717459218,30.770589312957,48.6646689087679,2.56823545130374,56.4192638496226,136.078760894809,63.2381411807779,2959.50288618432,340.313085016332,0.00513952988573625,68.34743292,3.417371646,31.65256708,3.165256708,0.314377289,0.031437729,1656.226334,6.054527797,5071.624524,1576.918734,15295.91562,236.5896523,6877.170886,109.8412701,213.3189091,2.983821266,18207.37633,174.7467358,6.986589224,0.042150715,16.48989021,0.0599718,22.07333655,0.101494601,44.32511103,0.350471561,2.226330413,0.015443008,3.976518253,0.100787663,114.3906738,3.793152987,97.8771987,4.502392108,1.360214265,0.002755716,0.998413767,0.012461864
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,587.28,22599.8,56713.0666666667,1.3,7.46666666666667,118.2,102.466666666667,41,6654.93333333333,96.6,235.8,125.866666666667,2.66666666666667,28.3333333333333,198.133333333333,911.6,39933.7333333333,6159,0.154267967,8.45041559981069,28.5236743776113,33.689478363147,13.2611139372657,1094.21344657551,62.8806125015607,32.9874434985712,43.9884183891732,10.3279555898864,51.4346557247524,115.089323488117,124.116189803863,953.272219153335,174.082492760514,0.00427609609282431,81.83306385,4.091653193,18.16693615,1.816693615,0.190035975,0.019003598,1984.35608,27.9378454,2197.636489,660.9589888,5707.668952,140.4932862,2119.195067,42.49584384,70.00844714,1.304675757,11359.78762,111.3855993,5.66932153,0.032214672,15.34618164,0.095693995,18.88934963,0.052728105,29.368275,0.129787204,4.466479343,0.067868015,3.67902566,0.046467408,64.93648567,2.106412572,51.11187666,2.214402619,0.612052096,0.010945345,1.260110739,0.004130806
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,665.746666666667,16717.4666666667,50758.2666666667,1.342,88.9333333333333,637.4,732.466666666667,136.066666666667,17414.8666666667,175.533333333333,189.866666666667,117.733333333333,36.6,108.733333333333,1101.8,707.066666666667,23130.7333333333,4665.06666666667,0.204718977266667,86.8146355885973,313.138673069023,385.080857310081,58.4532373130946,4863.54937801406,53.3758461514284,24.6369834269732,51.955292136147,43.0328777962684,70.3800566989853,374.949558512304,73.217354174956,3777.32024185451,365.484701002199,0.0221467138096942,57.79204232,2.889602116,42.20795768,4.220795768,0.533062752,0.053306275,1780.96211,19.26115121,12528.03678,3444.206884,27130.75859,382.1862963,12890.21714,60.8506047,417.5692893,3.445464021,33851.35179,363.6703835,18.88507004,0.046887685,39.37891077,0.297328055,37.94363653,0.232560971,93.54908632,0.215122776,3.630991932,0.066691662,7.20558062,0.087693813,171.3250337,4.492499717,160.3937624,6.916091616,2.599389237,0.018432733,1.145429053,0.002698226
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,716.192857142857,16771.3571428571,52420.3571428571,1.32714285714286,94.4285714285714,645.857142857143,819.357142857143,132.285714285714,18397.8571428571,159.571428571429,182.285714285714,100.714285714286,31.8571428571429,102.357142857143,1007.92857142857,712.428571428571,23955,4661.78571428571,0.195298392071429,64.4177642552763,209.719173820926,292.027292492396,40.2309268166602,3910.22432677644,65.3072198691153,30.5675256828816,36.139534225913,52.2050058649804,75.2581272307896,199.567403028772,91.4344778311974,2201.81428686576,287.885975978051,0.0107338283324855,69.12832422,3.456416211,30.87167578,3.087167578,0.423956063,0.042395606,1037.146063,9.911663486,3483.960682,1094.011884,10116.20827,157.5389463,4855.040059,57.8341097,141.6979167,2.177054306,14577.34124,114.825693,7.044092268,0.065492235,18.00861913,0.119944376,18.73001453,0.085063108,40.14643479,0.370308521,2.977303637,0.036686872,2.109290233,0.016655159,69.55534929,1.920119418,63.51816441,2.858527259,0.916516561,0.003853973,0.582116874,0.00169892
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,744.413333333333,17734.8666666667,51774.8666666667,1.346,46.2,449.666666666667,543.266666666667,109.6,16626.7333333333,186.933333333333,196.266666666667,118.6,22.6666666666667,71.8,896.133333333333,721.866666666667,25354.3333333333,4805.86666666667,0.190547722666667,22.7759271412353,106.986425485177,132.246234981064,32.0553093440518,2634.83353951486,59.2964304715441,30.4172570066652,60.516585684068,27.7480158020782,79.2961897841612,151.941185363034,112.066221919176,2464.78760796563,306.592765422676,0.0147738967690549,54.07511476,2.703755738,45.92488524,4.592488524,0.61562862,0.061562862,1392.158008,7.108145036,11659.94441,3267.30311,21714.33708,194.8718454,10403.61788,155.4234859,371.3797605,1.61738766,29657.04588,109.2912388,14.92378146,0.147042894,32.14134367,0.246042698,34.08990898,0.311441985,81.59730828,0.230844804,3.51604823,0.013814423,3.963633199,0.075817522,130.2536735,4.448161977,121.174026,5.750805569,2.055377995,0.021856926,0.673051269,0.005071986
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,772.55,15955.7857142857,48824.7857142857,1.31857142857143,71.3571428571429,459.071428571429,587.071428571429,110.571428571429,17408.7857142857,193.357142857143,173.642857142857,123.357142857143,13.4285714285714,106,1016.28571428571,722.428571428571,22037.2857142857,4461.57142857143,0.2031916305,33.9289010972995,148.319024292344,209.005507577677,30.1118792958074,4565.24363118639,82.818250629693,28.1796629964485,42.3712659218978,25.000659331965,64.4037743757783,191.068424542473,68.7992780437459,1741.73544880569,187.559514364298,0.012095968273224,62.71538526,3.135769263,37.28461474,3.728461474,0.487231101,0.04872311,1465.359818,11.44089097,7647.184074,2267.931752,20341.20911,405.8746354,9675.703494,40.69163139,341.5130418,3.285768212,27516.05179,192.625989,16.64731905,0.147532673,38.36122731,0.176175431,29.17767688,0.034558641,79.93730908,0.565674037,3.501373372,0.035358998,4.206801091,0.021598758,131.8879867,3.844581339,116.499276,5.014326643,1.738338112,0.021536133,0.863413962,0.008593058
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,799.733333333333,16688.2,50340.7333333333,1.35533333333333,44.2,415,478.8,109.8,16520.4,233.2,186.666666666667,140.8,21.6,112,937.333333333333,715.133333333333,24122.2,4729.86666666667,0.1990067366,33.6795826238136,154.279431088991,129.065985338619,44.0749361882692,2635.31653831999,64.435127952738,36.7980330737288,36.3930919661567,29.2032287843069,66.5013426287663,217.162765378107,128.409983293838,4143.11501512708,428.415163574951,0.0192180486859355,45.3473039,2.267365195,54.6526961,5.46526961,0.835475454,0.083547545,1044.236896,9.641918339,5002.720293,1430.900738,12514.93162,348.3525975,8232.043472,175.7847238,241.2793604,5.105480906,18335.53114,296.2920325,10.18252838,0.107644663,22.13806966,0.261153416,20.22360626,0.217514945,53.3476494,0.456586235,2.35241774,0.021704697,1.945757248,0.05221292,87.98899619,2.926433788,91.14020217,3.600436192,1.296530802,0.026420891,0.387156154,0.005073973
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,888.225,15616.0833333333,49393.8333333333,1.42166666666667,77,524.666666666667,610.25,144.5,19037.3333333333,316,185.666666666667,122.25,17.9166666666667,137.833333333333,1089,685.583333333333,20472.4166666667,4455,0.218104391583333,54.6941911491023,226.431339516312,259.223709984603,34.1294327790279,3587.52906439499,95.4329845779464,34.9709836431533,31.0487153884461,26.520860857183,46.9135245731845,101.282682716157,94.5645122109609,1778.47321948469,287.757473641196,0.00928985768977189,45.01114637,2.250557319,54.98885363,5.498885363,1.245475777,0.124547578,1737.02068,6.654228897,9110.578774,2763.677538,26333.16952,223.1480952,13294.3136,138.4755692,477.955413,3.028332467,37854.28444,235.7764508,19.97407233,0.056478506,43.41924078,0.469946319,37.92341421,0.429757144,105.4949459,0.961084227,3.312187293,0.018319984,5.765444277,0.078340462,183.5186364,7.306522756,153.3915035,7.789540979,2.190471084,0.008947313,1.042200739,0.006217018
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,1089.45333333333,17542.0666666667,52529.0666666667,1.40733333333333,54.2666666666667,416.133333333333,529.466666666667,127.466666666667,17317.9333333333,233.333333333333,185.4,146.333333333333,42.1333333333333,81.3333333333333,924.066666666667,761,24853.1333333333,4822.2,0.194959698466667,28.5268461695462,118.317289321472,147.271307780022,35.3166627339938,2596.03170976305,39.4871890014736,40.3976661277781,61.4092439140496,40.259633570589,63.8264014637323,206.406141473783,103.101198551991,2421.37985651236,265.281036961613,0.0115298927532115,59.79959042,2.989979521,40.20040958,4.020040958,0.496991162,0.049699116,1458.369885,15.52936827,9163.233327,2655.178009,20694.032,39.14844249,10841.15992,130.6451559,375.4268958,6.296867091,31170.92403,513.3314228,19.40135717,0.312621445,37.71061641,0.920295627,31.57899132,0.217195633,88.37360202,2.113767288,3.236225198,0.04936369,2.362468842,0.050752787,127.4096231,2.739950494,135.8916128,5.21794709,2.013870767,0.009340485,0.579473936,0.005683274
